"dong","와이파이개수","정보화점수","평균소득","평균생활인구","접근성점수"
"가락1동",4,0.943305960456054,1.23107061800333,26767.3619732836,1
"가락2동",1,0.932800117924528,0.322888342314439,29865.8166923414,3
"가락본동",1,0.927613897259291,0.549058455712506,35428.574567152,2
"가리봉동",14,0.91541331147541,-1.15716864602542,9152.85588745265,0
"가산동",63,0.93691707217338,-0.670303379789357,57531.9050443419,11
"가양1동",11,0.950175352813726,0.661153561247881,36795.0549482718,5
"가양2동",11,0.794783619550859,-0.392281901526859,14432.4933043442,0
"가양3동",7,0.840099635779986,-0.57819343159861,12363.3255788589,1
"가회동",16,0.882024509803922,-0.398516671913572,8157.3510055161,2
"갈현1동",17,0.886940780893381,-0.736811216691937,26986.328417152,1
"갈현2동",12,0.901586766169154,-0.436734962889139,24676.1645665956,1
"강일동",3,0.908867214492483,-0.323860423928249,35176.5685217093,1
"개봉1동",26,0.891168464607655,-0.745490672074871,27276.2568284564,0
"개봉2동",16,0.894586420874198,-0.60658484272507,26154.1214301136,0
"개봉3동",14,0.892031810952056,-0.61809795797805,15537.2089585582,0
"개포1동",1,0.876749566473988,1.00853258606995,8070.70204621212,0
"개포2동",6,0.928957458388136,1.31484718964145,18563.4416498461,0
"개포4동",7,0.923952349904917,0.67472508618475,16512.8744890862,1
"거여1동",5,0.895960517358747,-0.452836204963997,12457.3175923532,0
"거여2동",2,0.88678145499675,-0.316849167944958,12960.0256734612,0
"고덕1동",2,0.940085342885631,0.353160438747129,15348.761618383,0
"고덕2동",3,0.921227138795554,-0.893885730993673,9987.98451754261,0
"고척1동",26,0.897240592175999,-0.248867410299445,24891.5072029238,1
"고척2동",30,0.898344283246978,-0.861317826782385,19033.774728776,0
"공덕동",7,0.910856402280975,-0.749146171467233,37460.4445373816,2
"공릉1동",22,0.8965296875,-1.305040882895,43517.9012388139,2
"공릉2동",24,0.925838864405542,-0.718170011517721,47717.9713325284,2
"공항동",4,0.917785640989349,-0.526442786535623,38249.0016514441,2
"광장동",11,0.94375221018208,1.76460714553328,38890.164460464,2
"광희동",20,0.889930140038192,-0.598128570105125,24486.3780606534,5
"교남동",2,0.912575644378035,0.367084475699584,6899.12303455256,2
"구로1동",8,0.940149839344707,0.323037717673727,16944.7953497988,0
"구로2동",42,0.902599466030448,-1.22250110316712,36975.8631720052,0
"구로3동",54,0.924272346899962,-0.481958532911546,44635.6904209635,7
"구로4동",25,0.898396048666997,-0.771554865902676,17158.7113637547,0
"구로5동",31,0.921696104828577,-0.153973883112962,34700.1422056937,2
"구산동",14,0.885189800023666,-0.424548330461428,26291.2351843868,1
"구의1동",7,0.91931413953085,-0.428319611964835,23102.6187856297,1
"구의2동",9,0.909439144147373,-0.375876581422089,24473.7350721354,2
"구의3동",13,0.926694390908487,1.23529221058454,33082.7662738045,3
"군자동",10,0.918376769641323,-0.488617105275062,19250.1019126184,3
"금호1가동",5,0.906125799172621,0.451184306310149,15306.3916712476,0
"금호2.3가동",7,0.903943734226966,0.247458370711272,23129.5092389796,0
"금호4가동",2,0.911615551323307,0.928023317112273,10219.4953778883,1
"길동",4,0.904612504583001,-0.852916451939872,51543.5455428977,2
"길음1동",7,0.930913030580875,-0.228812605751167,32288.2839152462,0
"길음2동",7,0.91279861612515,0.27554769821645,16894.4039149029,3
"낙성대동",14,0.933513022754355,-0.0879045879294537,26931.6265893348,2
"난곡동",8,0.885905540951854,-0.950773070694408,18641.7611022372,0
