"dong","n","H_SDNG_CD.통계청행정동코드.","H_DNG_CD.행자부행정동코드.","DO_NM.시도명.","CT_NM.시군구명."
"가락1동",4,1124066,11710631,"서울","송파구"
"가락2동",1,1124067,11710632,"서울","송파구"
"가락본동",1,1124065,11710620,"서울","송파구"
"가리봉동",14,1117070,11530595,"서울","구로구"
"가산동",63,1118051,11545510,"서울","금천구"
"가양1동",11,1116064,11500603,"서울","강서구"
"가양2동",11,1116065,11500604,"서울","강서구"
"가양3동",7,1116066,11500605,"서울","강서구"
"가회동",16,1101060,11110600,"서울","종로구"
"갈현1동",17,1112055,11380551,"서울","은평구"
"갈현2동",12,1112056,11380552,"서울","은평구"
"강일동",3,1125051,11740515,"서울","강동구"
"개봉1동",26,1117072,11530740,"서울","구로구"
"개봉2동",16,1117064,11530750,"서울","구로구"
"개봉3동",14,1117065,11530760,"서울","구로구"
"개포1동",1,1123068,11680660,"서울","강남구"
"개포2동",6,1123080,11680670,"서울","강남구"
"개포4동",7,1123071,11680690,"서울","강남구"
"거여1동",5,1124053,11710531,"서울","송파구"
"거여2동",2,1124054,11710532,"서울","송파구"
"고덕1동",2,1125055,11740550,"서울","강동구"
"고덕2동",3,1125056,11740560,"서울","강동구"
"고척1동",26,1117061,11530720,"서울","구로구"
"고척2동",30,1117062,11530730,"서울","구로구"
"공덕동",7,1114077,11440565,"서울","마포구"
"공릉1동",22,1111079,11350595,"서울","노원구"
"공릉2동",24,1111056,11350600,"서울","노원구"
"공항동",4,1116069,11500620,"서울","강서구"
"광장동",11,1105063,11215810,"서울","광진구"
"광희동",20,1102059,11140590,"서울","중구"
"교남동",2,1101058,11110580,"서울","종로구"
"구로1동",8,1117052,11530520,"서울","구로구"
"구로2동",42,1117071,11530530,"서울","구로구"
"구로3동",54,1117054,11530540,"서울","구로구"
"구로4동",25,1117055,11530550,"서울","구로구"
"구로5동",31,1117056,11530560,"서울","구로구"
"구산동",14,1112057,11380560,"서울","은평구"
"구의1동",7,1105060,11215850,"서울","광진구"
"구의2동",9,1105061,11215860,"서울","광진구"
"구의3동",13,1105062,11215870,"서울","광진구"
"군자동",10,1105054,11215730,"서울","광진구"
"금호1가동",5,1104059,11200590,"서울","성동구"
"금호2.3가동",7,1104072,11200615,"서울","성동구"
"금호4가동",2,1104062,11200620,"서울","성동구"
"길동",4,1125074,11740685,"서울","강동구"
"길음1동",7,1108066,11290660,"서울","성북구"
"길음2동",7,1108068,11290685,"서울","성북구"
"낙성대동",14,1121058,11620585,"서울","관악구"
"난곡동",8,1121081,11620775,"서울","관악구"
"난향동",8,1121071,11620715,"서울","관악구"
"남가좌1동",8,1113069,11410690,"서울","서대문구"
"남가좌2동",5,1113070,11410700,"서울","서대문구"
"남영동",19,1103053,11170530,"서울","용산구"
"남현동",17,1121063,11620630,"서울","관악구"
"내곡동",11,1122068,11650660,"서울","서초구"
"노량진1동",19,1120072,11590510,"서울","동작구"
"노량진2동",7,1120052,11590520,"서울","동작구"
"녹번동",17,1112051,11380510,"서울","은평구"
"논현1동",21,1123052,11680521,"서울","강남구"
"논현2동",10,1123053,11680531,"서울","강남구"
"능동",13,1105059,11215780,"서울","광진구"
"다산동",6,1102070,11140625,"서울","중구"
"답십리1동",13,1106091,11230600,"서울","동대문구"
"답십리2동",9,1106086,11230610,"서울","동대문구"
"당산1동",19,1119055,11560550,"서울","영등포구"
"당산2동",6,1119056,11560560,"서울","영등포구"
"대림1동",8,1119070,11560700,"서울","영등포구"
"대림2동",10,1119071,11560710,"서울","영등포구"
"대림3동",14,1119072,11560720,"서울","영등포구"
"대방동",10,1120068,11590660,"서울","동작구"
"대조동",11,1112058,11380570,"서울","은평구"
"대치1동",7,1123060,11680600,"서울","강남구"
"대치2동",11,1123079,11680610,"서울","강남구"
"대치4동",11,1123063,11680630,"서울","강남구"
"대학동",16,1121073,11620735,"서울","관악구"
"대흥동",10,1114060,11440600,"서울","마포구"
"도곡1동",1,1123066,11680655,"서울","강남구"
"도곡2동",9,1123067,11680656,"서울","강남구"
"도림동",3,1119075,11560585,"서울","영등포구"
"도봉1동",10,1110064,11320521,"서울","도봉구"
"도봉2동",8,1110065,11320522,"서울","도봉구"
"도화동",3,1114075,11440585,"서울","마포구"
"독산1동",33,1118052,11545610,"서울","금천구"
"독산2동",17,1118053,11545620,"서울","금천구"
"독산3동",26,1118054,11545630,"서울","금천구"
"독산4동",18,1118055,11545640,"서울","금천구"
"돈암1동",4,1108058,11290580,"서울","성북구"
"돈암2동",3,1108059,11290590,"서울","성북구"
"동선동",10,1108083,11290575,"서울","성북구"
"동화동",6,1102073,11140665,"서울","중구"
"둔촌2동",3,1125071,11740700,"서울","강동구"
"등촌1동",5,1116052,11500520,"서울","강서구"
"등촌2동",4,1116053,11500530,"서울","강서구"
"등촌3동",13,1116054,11500535,"서울","강서구"
"마장동",13,1104054,11200540,"서울","성동구"
"마천1동",5,1124055,11710540,"서울","송파구"
"마천2동",6,1124056,11710550,"서울","송파구"
"망우3동",1,1107068,11260660,"서울","중랑구"
"망우본동",19,1107073,11260655,"서울","중랑구"
"망원1동",6,1114069,11440690,"서울","마포구"
"망원2동",7,1114070,11440700,"서울","마포구"
"면목2동",9,1107052,11260520,"서울","중랑구"
"면목3.8동",12,1107072,11260575,"서울","중랑구"
"면목4동",10,1107054,11260540,"서울","중랑구"
"면목5동",6,1107055,11260550,"서울","중랑구"
"면목7동",9,1107057,11260570,"서울","중랑구"
"면목본동",14,1107071,11260565,"서울","중랑구"
"명동",44,1102055,11140550,"서울","중구"
"명일1동",6,1125053,11740530,"서울","강동구"
"명일2동",1,1125054,11740540,"서울","강동구"
"목1동",16,1115051,11470510,"서울","양천구"
"목2동",22,1115052,11470520,"서울","양천구"
"목3동",12,1115053,11470530,"서울","양천구"
"목4동",14,1115054,11470540,"서울","양천구"
"목5동",12,1115071,11470550,"서울","양천구"
"무악동",1,1101057,11110570,"서울","종로구"
"묵1동",3,1107064,11260620,"서울","중랑구"
"묵2동",10,1107065,11260630,"서울","중랑구"
"문래동",10,1119076,11560605,"서울","영등포구"
"문정1동",2,1124068,11710641,"서울","송파구"
"문정2동",3,1124069,11710642,"서울","송파구"
"미성동",19,1121083,11620765,"서울","관악구"
"미아동",6,1109070,11305535,"서울","강북구"
"반포1동",4,1122057,11650560,"서울","서초구"
"반포2동",4,1122058,11650570,"서울","서초구"
"반포3동",2,1122059,11650580,"서울","서초구"
"반포4동",16,1122060,11650581,"서울","서초구"
"반포본동",3,1122056,11650550,"서울","서초구"
"발산1동",13,1116067,11500611,"서울","강서구"
"방배1동",4,1122062,11650600,"서울","서초구"
"방배2동",10,1122063,11650610,"서울","서초구"
