"구","동","인구","고령자","장애인구","기초생활수급인구","일반인구","고령자비율","장애인비율","기초비율","일반비율","정보화점수"
"종로구","사직동",9815,1778,295,127,7615,0.181151299032094,0.0300560366785532,0.0129393785022924,0.775853285787061,0.897340804890474
"종로구","삼청동",2997,664,112,42,2179,0.221554888221555,0.0373707040373707,0.014014014014014,0.72706039372706,0.874540540540541
"종로구","부암동",10551,1762,316,133,8340,0.166998388778315,0.0299497677945218,0.012605440242631,0.790446403184532,0.904507534830822
"종로구","평창동",18816,3263,538,147,14868,0.173416241496599,0.0285926870748299,0.0078125,0.790178571428571,0.902538637329932
"종로구","무악동",8740,1413,337,145,6845,0.161670480549199,0.038558352402746,0.0165903890160183,0.783180778032037,0.903664530892448
"종로구","교남동",10708,1564,360,212,8572,0.146059021292492,0.0336197235711617,0.019798281658573,0.800522973477774,0.912575644378035
"종로구","가회동",4488,919,179,65,3325,0.204768270944742,0.0398841354723708,0.0144830659536542,0.740864527629233,0.882024509803922
"종로구","종로1.2.3.4가동",8446,1900,391,687,5468,0.224958560265214,0.0462941037177362,0.0813402794222117,0.647407056594838,0.858776225432157
"종로구","종로5.6가동",5839,1117,270,267,4185,0.191299880116458,0.0462407946566193,0.0457270080493235,0.716732317177599,0.881499400582291
"종로구","이화동",8470,1377,340,214,6539,0.162573789846517,0.0401416765053129,0.0252656434474616,0.772018890200708,0.901257378984652
"종로구","창신1동",6079,1214,320,410,4135,0.199703898667544,0.052640236881066,0.0674453035038658,0.680210560947524,0.871595657180457
"종로구","창신2동",9799,1708,488,396,7207,0.174303500357179,0.0498010001020512,0.040412286968058,0.735483212572712,0.889696091437902
"종로구","창신3동",7271,1198,336,204,5533,0.164764131481227,0.0462109751065878,0.0280566634575712,0.760968229954614,0.897692752028607
"종로구","숭인1동",6532,1159,286,256,4831,0.177434170238824,0.0437844458052664,0.0391916717697489,0.73958971218616,0.890323637477036
"종로구","숭인2동",9902,1653,443,391,7415,0.166935972530802,0.0447384366794587,0.0394869723288225,0.748838618460917,0.895208240759443
"종로구","청운효자동",12981,2202,480,164,10135,0.169632539865958,0.0369771204067483,0.0126338494723057,0.780756490254988,0.900859718049457
"종로구","혜화동",20435,2628,576,259,16972,0.128602887203328,0.0281869341815513,0.0126743332517739,0.830535845363347,0.9242774161977
"중구","소공동",3059,284,32,33,2710,0.0928407976462896,0.0104609349460608,0.0107878391631252,0.885910428244524,0.948337038247793
"중구","회현동",5850,1470,337,504,3539,0.251282051282051,0.0576068376068376,0.0861538461538462,0.604957264957265,0.841075726495726
"중구","명동",3567,750,128,66,2623,0.210260723296888,0.0358844967760022,0.0185029436501262,0.735351836276983,0.879938884216428
"중구","필동",5020,820,165,74,3961,0.163346613545817,0.0328685258964143,0.0147410358565737,0.789043824701195,0.905014940239044
"중구","장충동",5628,810,203,107,4508,0.143923240938166,0.0360696517412935,0.0190120824449183,0.800995024875622,0.912962331201137
"중구","광희동",6284,1172,244,151,4717,0.186505410566518,0.0388287714831318,0.0240292807129217,0.750636537237428,0.889930140038192
"중구","을지로동",2007,489,86,98,1334,0.243647234678625,0.0428500249128052,0.0488290981564524,0.664673642252118,0.855936223218734
"중구","신당5동",10929,1690,486,352,8401,0.154634458779394,0.0444688443590447,0.0322078872723945,0.768688809589166,0.902649281727514
"중구","황학동",13689,1912,510,397,10870,0.139674190956242,0.0372561911023449,0.0290013879757469,0.794068229965666,0.913045876251004
"중구","중림동",12942,2014,539,544,9845,0.15561736980374,0.0416473497141091,0.0420336887652604,0.760701591716891,0.901470483696492
"중구","신당동",9234,1361,376,287,7210,0.147390080138618,0.0407190816547542,0.0310807883907299,0.780810049815898,0.907698613818497
"중구","다산동",15035,2566,652,407,11410,0.170668440305953,0.0433654805453941,0.0270701696042567,0.758895909544396,0.895845227801796
"중구","약수동",17734,3598,891,728,12517,0.202887109507161,0.0502424720875155,0.0410510883049509,0.705819330100372,0.875152757415135
"중구","청구동",14515,2602,623,593,10697,0.179262831553565,0.0429211160868068,0.0408542886668963,0.736961763692732,0.889420737168446
"중구","동화동",10995,1737,440,156,8662,0.157980900409277,0.0400181900864029,0.0141882673942701,0.78781264211005,0.905422464756708
"용산구","후암동",18445,3005,779,676,13985,0.162916779615072,0.0422336676606126,0.0366494985090811,0.758200054215235,0.898515098942803
"용산구","용산2가동",11836,2073,490,459,8814,0.175143629604596,0.0413991213247719,0.0387799932409598,0.744677255829672,0.892326377154444
"용산구","남영동",8412,1611,572,1171,5058,0.19151212553495,0.067998097955302,0.139205896338564,0.601283880171184,0.858767593913457
"용산구","원효로2동",14718,2370,468,363,11517,0.161027313493681,0.0317977986139421,0.0246636771300448,0.782511210762332,0.904891765185487
"용산구","효창동",10300,1421,345,126,8408,0.137961165048544,0.033495145631068,0.0122330097087379,0.81631067961165,0.917914077669903
"용산구","용문동",12587,2023,489,319,9756,0.160721379200763,0.0388496067371097,0.0253436084849448,0.775085405577183,0.902598395169619
"용산구","이촌1동",29255,4412,530,44,24269,0.150811827038113,0.0181165612715775,0.00150401640745172,0.829567595282858,0.918349341992822
"용산구","이촌2동",9005,1737,378,125,6765,0.192892837312604,0.041976679622432,0.0138811771238201,0.751249305941144,0.887368906163243
"용산구","이태원1동",9222,1580,236,163,7243,0.17132942962481,0.0255909780958577,0.0176751247018,0.785404467577532,0.902948275862069
"용산구","이태원2동",10811,1885,323,199,8404,0.174359448709648,0.0298769771528998,0.0184071778743872,0.777356396263065,0.899893811858293
"용산구","서빙고동",14102,2060,393,262,11387,0.146078570415544,0.0278683874627712,0.0185789249751808,0.807474117146504,0.914670755921146
"용산구","보광동",15862,2730,599,829,11704,0.172109443954104,0.0377632076661203,0.0522632707098727,0.737864077669903,0.892822216618333
"용산구","청파동",20661,3300,822,806,15733,0.159721213881226,0.039785102366778,0.0390106964812933,0.761482987270703,0.90053375925657
"용산구","원효로1동",16630,1941,466,290,13933,0.1167167769092,0.0280216476247745,0.0174383644016837,0.837823211064342,0.929489116055322
"용산구","한강로동",19635,3053,496,387,15699,0.155487649605297,0.0252610134963076,0.0197097020626432,0.799541634835752,0.910642678889738
"용산구","한남동",23704,3590,639,487,18988,0.151451231859602,0.0269574755315559,0.0205450556868039,0.801046236922038,0.911961525480931
"성동구","왕십리2동",17744,2483,663,472,14126,0.139934625788999,0.0373647430117223,0.0266005410279531,0.796100090171326,0.913275867899008
"성동구","마장동",24035,3661,1089,679,18606,0.152319534012898,0.0453089244851259,0.0282504680674017,0.774121073434575,0.904181651757853
"성동구","사근동",13543,1453,387,185,11518,0.107287897806985,0.0285756479362032,0.0136601934578749,0.850476260798937,0.934643579709075
"성동구","행당1동",16463,2324,633,401,13105,0.141165036749074,0.0384498572556642,0.0243576504889753,0.796027455506287,0.912671566543157
"성동구","행당2동",24640,3575,918,700,19447,0.145089285714286,0.0372564935064935,0.0284090909090909,0.78924512987013,0.910435957792208
"성동구","응봉동",16188,2456,539,176,13017,0.151717321472696,0.0332962688411169,0.0108722510501606,0.804114158636027,0.911326352853966
"성동구","금호1가동",15954,2372,644,597,12341,0.148677447662028,0.0403660524006519,0.0374200827378714,0.773536417199448,0.906125799172621
"성동구","금호4가동",15227,2222,530,360,12115,0.14592500164182,0.0348065935509293,0.0236422144874237,0.795626190319827,0.911615551323307
"성동구","성수1가1동",17168,2079,607,447,14035,0.121097390493942,0.035356477166822,0.0260368126747437,0.817509319664492,0.923452236719478
"성동구","성수1가2동",14735,1943,541,242,12009,0.131862911435358,0.0367153036986766,0.0164234815066169,0.814998303359349,0.919205904309467
"성동구","성수2가1동",17722,2736,839,688,13459,0.154384380995373,0.0473422864236542,0.0388218034081932,0.75945152917278,0.900731915133732
"성동구","성수2가3동",11682,1768,422,202,9290,0.151343947954117,0.0361239513781887,0.017291559664441,0.795240541003253,0.909517890772128
"성동구","송정동",11428,1678,539,573,8638,0.146832341617081,0.0471648582429121,0.05014000700035,0.755862793139657,0.902699159957998
"성동구","용답동",13290,2124,673,733,9760,0.159819413092551,0.0506395786305493,0.0551542513167795,0.73438675696012,0.894228141459744
"성동구","왕십리도선동",27767,3484,993,745,22545,0.12547268340116,0.0357618756077358,0.0268304101991573,0.811935030791947,0.920999459790399
"성동구","금호2.3가동",24171,3783,946,710,18732,0.156509867196227,0.0391378097720409,0.029374043274999,0.774978279756733,0.903943734226966
"성동구","옥수동",27222,3806,723,453,22240,0.139813386231724,0.0265594004849019,0.0166409521710381,0.816986261112336,0.918556388215414
"광진구","화양동",25537,2245,536,397,22359,0.0879116575948624,0.0209891529936954,0.0155460704076438,0.875553119003798,0.946531659944394
"광진구","군자동",22109,2845,793,725,17746,0.128680627798634,0.0358677461667194,0.032792075625311,0.802659550409336,0.918376769641323
"광진구","중곡1동",16287,2371,693,760,12463,0.145576226438264,0.0425492724258611,0.0466629827469761,0.765211518388899,0.905428685454657
"광진구","중곡2동",22564,3054,898,701,17911,0.135348342492466,0.0397979081723099,0.0310671866690303,0.793786562666194,0.914026635348342
"광진구","중곡3동",17315,2640,760,931,12984,0.152468957551256,0.043892578688998,0.0537684088940225,0.749870054865723,0.9003652902108
"광진구","중곡4동",30516,4731,1343,1131,23311,0.155033425088478,0.0440096998295976,0.0370625245772709,0.763894350504653,0.901800760256914
"광진구","능동",11978,1530,381,256,9811,0.127734179328769,0.0318083152446151,0.0213725162798464,0.819084989146769,0.922077892803473
"광진구","구의1동",23063,2965,838,612,18648,0.128560898408707,0.0363352556042145,0.0265360100594025,0.808567835927676,0.91931413953085
"광진구","구의2동",27902,4031,1149,794,21928,0.144469930470934,0.0411798437388001,0.0284567414522256,0.78589348433804,0.909439144147373
"광진구","구의3동",30094,3734,809,432,25119,0.124077889280255,0.0268824350368844,0.0143550209344055,0.834684654748455,0.926694390908487
"광진구","광장동",36083,3500,739,212,31632,0.0969985865920239,0.0204805587118588,0.00587534295928831,0.876645511736829,0.94375221018208
"광진구","자양1동",24156,3229,920,962,19045,0.133672793508859,0.0380857757906938,0.0398244742507038,0.788416956449743,0.913986173207485
"광진구","자양2동",26893,3696,970,664,21563,0.1374335328896,0.0360688655040345,0.0246904398914216,0.801807161714944,0.91527051649128
"광진구","자양3동",29475,3782,841,279,24573,0.128312128922816,0.0285326547921968,0.00946564885496183,0.833689567430025,0.924837794741306
"광진구","자양4동",23000,3549,893,753,17805,0.154304347826087,0.0388260869565217,0.0327391304347826,0.774130434782609,0.904594434782609
"동대문구","회기동",13114,1502,325,213,11074,0.114534085709928,0.0247826750038127,0.0162421839255757,0.844441055360683,0.931849931371054
"동대문구","휘경1동",16508,2428,672,485,12923,0.147080203537679,0.0407075357402472,0.0293796946934819,0.782832566028592,0.908138054276714
"동대문구","휘경2동",25068,3753,886,537,19892,0.149712781235041,0.0353438646880485,0.0214217328865486,0.793521621190362,0.909910204244455
"동대문구","청량리동",21808,5198,1355,1533,13722,0.238352898019076,0.0621331621423331,0.0702953044754219,0.629218635363169,0.848658749082905
"동대문구","용신동",32144,5472,1482,1309,23881,0.170233947237432,0.0461050273768044,0.0407229965156794,0.742938028870085,0.892902967894475
"동대문구","제기동",27364,5456,1373,1224,19311,0.19938605467037,0.0501754129513229,0.044730302587341,0.705708229790966,0.876318411051016
"동대문구","전농1동",31075,5360,1540,1598,22577,0.172485921158488,0.0495575221238938,0.0514239742558327,0.726532582461786,0.888868543845535
"동대문구","전농2동",19990,3488,894,668,14940,0.174487243621811,0.0447223611805903,0.0334167083541771,0.747373686843422,0.89243951975988
"동대문구","답십리1동",29783,3893,1059,700,24131,0.13071215122721,0.0355571970587248,0.0235033408320183,0.810227310882047,0.918996440922674
"동대문구","답십리2동",30486,5270,1463,1082,22671,0.172866233681034,0.047989240963065,0.0354917011087056,0.743652824247195,0.891826313717772
"동대문구","장안1동",39153,5919,1689,1267,30278,0.151176155083902,0.0431384568232319,0.0323602278241769,0.773325160268689,0.90479365565857
"동대문구","장안2동",33045,4731,1306,985,26023,0.143168406718112,0.0395218641246785,0.0298078377969436,0.787501891360266,0.91041576637918
"동대문구","이문1동",22311,3221,812,602,17676,0.144368248845861,0.0363946035587827,0.0269822060866837,0.792254941508673,0.91131719779481
"동대문구","이문2동",21174,3659,1015,804,15696,0.172806271842826,0.0479361481061679,0.0379710966279399,0.741286483423066,0.891464768111835
