"dong","mean"
"가락1동",26767.3619732836
"가락2동",29865.8166923414
"가락본동",35428.574567152
"가리봉동",9152.85588745265
"가산동",57531.9050443419
"가양1동",36795.0549482718
"가양2동",14432.4933043442
"가양3동",12363.3255788589
"가회동",8157.3510055161
"갈현1동",26986.328417152
"갈현2동",24676.1645665956
"강일동",35176.5685217093
"개봉1동",27276.2568284564
"개봉2동",26154.1214301136
"개봉3동",15537.2089585582
"개포1동",8070.70204621212
"개포2동",18563.4416498461
"개포4동",16512.8744890862
"거여1동",12457.3175923532
"거여2동",12960.0256734612
"고덕1동",15348.761618383
"고덕2동",9987.98451754261
"고척1동",24891.5072029238
"고척2동",19033.774728776
"공덕동",37460.4445373816
"공릉1동",43517.9012388139
"공릉2동",47717.9713325284
"공항동",38249.0016514441
"광장동",38890.164460464
"광희동",24486.3780606534
"교남동",6899.12303455256
"구로1동",16944.7953497988
"구로2동",36975.8631720052
"구로3동",44635.6904209635
"구로4동",17158.7113637547
"구로5동",34700.1422056937
"구산동",26291.2351843868
"구의1동",23102.6187856297
"구의2동",24473.7350721354
"구의3동",33082.7662738045
"군자동",19250.1019126184
"금호1가동",15306.3916712476
"금호2.3가동",23129.5092389796
"금호4가동",10219.4953778883
"길동",51543.5455428977
"길음1동",32288.2839152462
"길음2동",16894.4039149029
"낙성대동",26931.6265893348
"난곡동",18641.7611022372
"난향동",10776.4788943537
"남가좌1동",15442.5623940933
"남가좌2동",20303.1070242661
"남영동",19023.7670401278
"남현동",24589.8688572325
"내곡동",26162.7432701823
"노량진1동",45614.0425297585
"노량진2동",19057.2185311671
"녹번동",32822.1466135653
"논현1동",45135.8574658026
"논현2동",44964.3103531013
"능동",16220.3915328598
"다산동",15944.0553539418
"답십리1동",23401.4718859612
"답십리2동",23646.9155037997
"당산1동",23964.3852069839
"당산2동",41325.9718325402
"대림1동",12488.6011558594
"대림2동",14776.6282636364
"대림3동",26904.2158509943
"대방동",39093.0695624408
"대조동",34807.6141432055
"대치1동",27169.2426583215
"대치2동",54277.0099453125
"대치4동",33792.842894188
"대학동",37369.4603532789
"대흥동",25072.0543249763
"도곡1동",27376.6766344342
"도곡2동",29682.6239467685
"도림동",15519.9966420455
"도봉1동",17174.6469755682
"도봉2동",19487.1551312263
"도화동",22617.7742954664
"독산1동",33299.4669801373
"독산2동",14315.3438954427
"독산3동",20692.0950419744
"독산4동",12054.1765548295
"돈암1동",16057.8729460109
"돈암2동",12930.1325645833
"동선동",27277.6836199337
"동화동",9332.42730872396
"둔촌1동",7308.36819872159
"둔촌2동",29955.3122852865
"등촌1동",19184.4602040956
"등촌2동",15870.1854347064
"등촌3동",31883.0506128314
"마장동",25847.318370928
"마천1동",11270.7987828362
"마천2동",16126.3802155185
"망우3동",12751.3924044626
"망우본동",31860.2492286577
"망원1동",19466.6694295455
"망원2동",18078.3283666075
"면목2동",21739.9790389323
"면목3.8동",21068.797731321
"면목4동",18205.121176456
"면목5동",10587.3924004025
"면목7동",19175.6768417969
"면목본동",30646.082370786
"명동",43805.2322828717
"명일1동",25618.0035886482
"명일2동",18100.6802938684
"목1동",48538.9097181818
"목2동",24615.2190038471
"목3동",20075.3155223958
"목4동",17595.7123333688
"목5동",41613.0482478812
"무악동",7261.18044339489
"묵1동",27686.9824068182
"묵2동",18480.8991404001
"문래동",41552.4692635298
