"구명","유형","설치주소","지역명","상세설치장소","설치기관.회사.","설치위치.X좌표.","설치위치.Y좌표.","콘텐츠아이디","dong","xy"
"강남구","복지센터등","아동복지센터","강남구 광평로34길 124","아동복지센터 1F","서울시(시스코)","127.088505","37.479804","WF120001","일원본동","127.08850537.479804"
"강남구","주요거리","강남역 지하상가","서울특별시 강남구 테헤란로 101","강남역 지하상가 F-5 다이어리 앞 천정매립","미래부(LGU+)","127.0280696","37.4986144","WF121044","역삼1동","127.028069637.4986144"
"강남구","공공기관","강남운전면허시험장(대치)","서울특별시 강남구 테헤란로114길 23","1층 화장실 앞 기둥위","미래부(KT)","127.0672394","37.5084197","WF121045","대치2동","127.067239437.5084197"
"강남구","복지센터등","강남종합고용지원센터","서울특별시 강남구 테헤란로 410","금강타워 8층안내데스크앞","미래부(KT)","127.0507291","37.504556","WF121046","대치4동","127.050729137.504556"
"강남구","문화관광","개포도서관","서울특별시 강남구 선릉로4길 30","1층 자판기 위","미래부(KT)","127.063769","37.4829604","WF121047","개포2동","127.06376937.4829604"
"강남구","복지센터등","군인공제회관","서울특별시 강남구 남부순환로 2806","도곡동 467-12 한국 IBM","미래부(KT)","127.0528667","37.4890937","WF121048","도곡2동","127.052866737.4890937"
"강남구","문화관광","역삼동 문화센터","서울특별시 강남구 선릉로69길 19","역삼동 757","미래부(KT)","127.0500818","37.4975477","WF121059","역삼2동","127.050081837.4975477"
"강남구","문화관광","코엑스전시장(몰)","서울특별시 강남구 영동대로 513","삼성1동 159","미래부(LGU+)","127.0587979","37.5124637","WF121060","삼성1동","127.058797937.5124637"
"강남구","전통시장","강남시장","서울특별시 강남구 압구정로2길 46","신사동 510-11(1층 좌측출입구 간판벽면)","SKT","127.020569","37.518774","WF131003","신사동_강","127.02056937.518774"
"강남구","주요거리","대치동 거리","서울특별시 강남구 선릉로86길 26","대치동 896 -34 세원빌딩 옥상","LGU+","127.051855","37.503561","WF131004","대치4동","127.05185537.503561"
"강남구","주요거리","대치동 거리","서울특별시 강남구 선릉로86길 10","대치동 897 -13 남곡빌딩 옥상","LGU+","127.050684","37.503111","WF131005","대치4동","127.05068437.503111"
"강남구","전통시장","영동전통시장","서울특별시 강남구 강남대로124길 13","논현동 140(옥상설치-시장좌측방향)","SKT","127.023881","37.509119","WF131006","논현1동","127.02388137.509119"
"강남구","전통시장","청담삼익시장","서울특별시 강남구 학동로101길 26","청담동 134-20(1F 우측공원출입구_D)-1층 125호앞 복도 기둥벽면","SKT","127.057737","37.522519","WF131008","청담동","127.05773737.522519"
"강남구","복지센터등","강남구 직업재활센터","서울특별시 강남구 광평로60길 22","건물 리모델링 증축","미래부(SKT)","127.107019","37.4869646","WF131143","수서동","127.10701937.4869646"
"강남구","공공기관","강남구 보건소","서울특별시 강남구 선릉로 668","5층 화장실 앞","미래부(KT)","127.0422041","37.516286","WF141144","삼성2동","127.042204137.516286"
"강남구","복지센터등","강남노인종합복지관","서울특별시 강남구 삼성로 640","6층 데이케어센터","미래부(LGU+)","127.052132","37.515857","WF141154","삼성1동","127.05213237.515857"
"강남구","복지센터등","강남장애인복지관","서울특별시 강남구 개포로109길 5","지하1층 헬스장 앞 천정매립","미래부(LGU+)","127.0746666","37.4923415","WF141158","일원2동","127.074666637.4923415"
"강남구","문화관광","강남청소년수련관","서울특별시 강남구 영동대로131길 26","3층 산들방 앞 천장","미래부(KT)","127.0540445","37.520529","WF141160","청담동","127.054044537.520529"
"강남구","복지센터등","대치노인복지센터","서울특별시 강남구 역삼로71길 22","지하1층 중앙복도 천정매립","미래부(LGU+)","127.0543227","37.5032219","WF141166","대치4동","127.054322737.5032219"
"강남구","문화관광","대치평생학습관","서울특별시 강남구 영동대로57길 7","5F 엘리베이터 앞 점검구 안","미래부(KT)","127.0669398","37.5000135","WF141169","대치2동","127.066939837.5000135"
"강남구","복지센터등","성모자애복지관","서울특별시 강남구 헌릉로757길 35","1층 인포데스크 앞 천장","미래부(LGU+)","127.1192729","37.4705811","WF141174","세곡동","127.119272937.4705811"
"강남구","문화관광","압구정평생학습관","서울특별시 강남구 언주로172길 26","6F 체육센터 남자화장실 입구 상단","미래부(KT)","127.0357833","37.527293","WF141180","압구정동","127.035783337.527293"
"강남구","문화관광","역삼청소년수련관","서울특별시 강남구 논현로64길 7","5F 남자화장실 앞 천장","미래부(KT)","127.0410313","37.4939379","WF141185","역삼2동","127.041031337.4939379"
"강남구","문화관광","청담평생학습관","서울특별시 강남구 학동로67길 11","4F 대기실 점검구 안","미래부(KT)","127.0464205","37.519128","WF141192","청담동","127.046420537.519128"
"강남구","복지센터등","태화기독사회복지관","서울특별시 강남구 광평로 185","5층 휴게실 복도","미래부(SKT)","127.0934479","37.4847268","WF141197","일원본동","127.093447937.4847268"
"강남구","복지센터등","하상장애인복지관","서울특별시 강남구 개포로 613","1층 엘리베이터 옆 쉼터 천정","미래부(LGU+)","127.07517","37.4925619","WF141211","일원2동","127.0751737.4925619"
"강남구","버스승차대","강남역사거리","서울특별시 강남구 테헤란로 110","강남역.역삼세무서 23-287정류장/AP망실","KT","127.029331","37.498251","WF141215","역삼1동","127.02933137.498251"
"강남구","버스승차대","강남역사거리","서울특별시 서초구 서초대로 411","강남역.강남역사거리 22-167정류장","KT","127.026214","37.497742","WF141216","서초4동","127.02621437.497742"
"강남구","버스승차대","신사사거리","서울특별시 강남구 도산대로 125","신사사거리가로수길 23-108정류장","KT","127.022059","37.517435","WF141219","신사동_강","127.02205937.517435"
"강남구","공원","논현개나리공원","서울특별시 강남구 논현로123길 19","논현동 150-5(CCTV_논현1-255 A6링)","서울시(SKT)","127.022462","37.5113394","WF151001","논현1동","127.02246237.5113394"
"강남구","공원","논현까치공원","서울특별시 강남구 학동로4길 43-12","CCTV_논현1-230 A6링","서울시(SKT)","127.025118","37.5085141","WF151002","논현1동","127.02511837.5085141"
"강남구","주요거리","논현동맛의거리-1","서울특별시 강남구 강남대로122길 5","CCTV_논현1-208 A6링","서울시(SKT)","127.0237475","37.5076678","WF151003","논현1동","127.023747537.5076678"
"강남구","공원","논현은행나무공원","서울특별시 강남구 학동로5길 15","논현동 47-13(CCTV_논현1-205 A5링)","서울시(SKT)","127.022421","37.5126222","WF151005","논현1동","127.02242137.5126222"
"강남구","주요거리","대치동 산등성길#1","서울특별시 강남구 선릉로86길 38","대치동 896-27(CCTV_대치4-244 B3링)","서울시(SKT)","127.0527912","37.5038166","WF151006","대치4동","127.052791237.5038166"
"강남구","주요거리","대치동 산등성길#2","서울특별시 강남구 삼성로85길 33","대치동 894(CCTV_대치4-201 B3링)","서울시(SKT)","127.0547593","37.5043924","WF151007","대치4동","127.054759337.5043924"
"강남구","주요거리","대치동 산등성길#3","서울특별시 강남구 테헤란로64길 19","대치동 890-57(CCTV_대치4-232 B3링)","서울시(SKT)","127.0517226","37.5037458","WF151008","대치4동","127.051722637.5037458"
"강남구","공원","도곡목련공원","서울특별시 강남구 논현로36길 31","도곡동 415-3(CCTV_도곡2-203 C3링)","서울시(SKT)","127.0443385","37.4849477","WF151009","도곡2동","127.044338537.4849477"
"강남구","공원","독골근린공원","서울특별시 강남구 남부순환로378길 29","도곡2동 461(CCTV도곡2-217 C3링)","서울시(SKT)","127.046824","37.4845582","WF151010","도곡2동","127.04682437.4845582"
"강남구","공원","일원동늘푸른공원","강남구영동대로4길20","일원2동 690(CCTV_일원2-211 C7링)","서울시(SKT)","127.0774436","37.4899302","WF151011","개포2동","127.077443637.4899302"
"강남구","주요거리","일원동 맛의거리","서울특별시 강남구 양재대로29길 6","일원동 686-8(CCTV_일원1-236 C6링)","서울시(삼성)","127.0824159","37.4897097","WF151012","일원1동","127.082415937.4897097"
